account_id,profile_completeness,post_frequency_per_day,follower_following_ratio,average_time_between_posts,is_verified,behavior_label
account_1,0.75,20,5.75,21.39,1,bot
account_2,0.75,0,4.07,23.8,0,cyborg
account_3,0.75,0,5.9,106.65,1,human
account_4,0.5,1,6.5,6.98,1,cyborg
account_5,0.5,20,5.22,15.43,0,cyborg
account_6,0.5,5,7.36,110.36,1,human
account_7,0.75,10,2.11,70.45,1,bot
account_8,0.5,50,1.58,41.55,1,human
account_9,0.5,1,7.29,7.37,1,cyborg
account_10,0.5,50,7.3,18.85,0,bot
account_11,0.5,1,2.25,51,1,bot
account_12,1,5,4.8,117.47,1,cyborg
account_13,1,50,7.08,112.02,1,human
account_14,0.75,0,5.07,19.58,0,cyborg
account_15,0.5,5,9.17,77.17,1,cyborg
account_16,0.75,5,8.46,60.6,0,human
account_17,1,20,5.62,74.03,1,cyborg
account_18,0.5,20,1.24,101.13,0,cyborg
account_19,1,0,1.13,27.98,0,human
account_20,0.5,1,8.55,97.11,0,bot
account_21,1,0,0.59,45.11,1,human
account_22,0.75,2,7.25,82.43,0,cyborg
account_23,1,10,6.14,67.78,0,human
account_25,0.75,50,4.65,21.95,0,bot
account_27,1,50,3.93,16.77,1,bot
account_28,0.75,50,9.62,28.08,0,bot
account_29,0.5,10,0.33,6.95,1,bot
account_30,0.75,5,3.21,102.1,0,bot
account_32,0.5,5,5.25,21.05,1,human
account_33,0.75,5,0.64,84.74,0,human
account_34,0.75,50,5.16,65.73,0,human
account_35,0.5,1,1.77,58.73,0,cyborg
account_36,1,20,4.07,12.09,1,bot
account_37,1,0,4.44,67.92,1,bot
account_38,0.5,50,2.65,73.89,1,bot
account_39,0.75,1,5.31,41.02,0,bot
account_41,1,50,1.32,110.87,1,human
account_42,0.5,10,6.37,84.35,0,cyborg
account_43,0.5,10,6.83,7,0,bot
account_44,0.75,20,2.63,42.52,0,bot
account_46,0.5,2,9.68,35.66,1,human
account_47,0.75,50,8.68,24.88,1,bot
account_48,0.5,10,3.18,118.82,0,cyborg
account_49,0.5,0,9.76,82.36,1,human
account_50,0.75,2,7.1,59.13,1,human
account_51,0.5,10,1.37,48.65,0,cyborg
account_52,0.75,0,8.49,9.14,1,human
account_53,1,50,5.17,116.78,1,bot
account_54,0.5,1,8.2,6.15,0,human
account_55,1,1,0.9,21.03,0,human
account_57,1,2,0.69,15.08,1,bot
account_58,0.5,5,5.04,60.01,0,bot
account_59,1,1,1.33,36.47,1,human
account_60,1,1,9.29,77.77,0,bot
account_61,0.75,0,1.17,37.41,1,human
account_62,0.5,0,1.71,57.2,0,human
account_63,1,10,6.62,46.26,0,human
account_64,0.75,20,4.13,83.44,1,bot
account_65,0.5,0,9.46,69.5,0,bot
account_66,1,1,5.39,113.56,0,human
account_69,0.75,2,4.15,1.98,0,human
account_70,1,10,5.02,60.49,1,cyborg
account_72,0.5,10,4.81,13.12,0,human
account_74,0.5,0,3.99,86.58,0,bot
account_75,0.5,0,2.47,25.56,0,human
account_76,0.5,5,9.25,79.1,1,human
account_78,1,0,2.99,55.45,0,cyborg
account_80,0.75,2,1.81,111.1,1,cyborg
account_81,1,2,6.44,39.72,0,bot
account_82,1,50,8.52,91.67,1,human
account_83,0.5,10,5.69,28.63,1,bot
account_84,1,5,1.65,91.19,1,bot
account_85,0.75,20,8.25,90.64,0,bot
account_86,0.5,5,1.79,109.91,1,cyborg
account_88,1,1,8.26,109.05,0,cyborg
account_89,0.75,20,9.52,7.89,0,human
account_90,0.75,10,7.47,12.84,0,human
account_91,0.75,10,4.87,51.34,1,cyborg
account_92,0.75,1,7.23,55.93,1,human
account_93,0.75,1,9.81,46.05,0,human
account_94,0.5,20,3.69,112.06,1,human
account_95,0.75,2,2.29,36.3,1,cyborg
account_96,0.75,0,5.09,21.87,0,cyborg
account_97,0.75,10,7.54,10.46,0,human
account_98,0.75,10,0.76,107.91,0,bot
account_99,0.75,20,3.35,10,0,human
account_100,0.5,10,1.1,32.38,0,bot
account_101,0.75,0,1.4,47.62,0,bot
account_102,0.75,5,3.89,100.23,1,human
account_103,1,1,7.62,49.33,1,bot
account_104,0.75,10,1.88,22.96,1,cyborg
account_105,0.75,0,5.08,48.99,1,bot
account_106,1,20,3.94,95.56,1,cyborg
account_107,0.75,20,4.6,67.84,1,cyborg
account_109,1,0,8.08,118.43,0,human
